# Plate File Name: 16s_Plate_3.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 04:51:02 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 04:51:09 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 06:06:39 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 30 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
40,D4,S-L-4,Target 1,UNKNOWN,SYBR,None,Amp,27.24025352,26.33203894,0.953121322,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
41,D5,S-L-4,Target 1,UNKNOWN,SYBR,None,Amp,27.24922955,26.33203894,0.950102585,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
42,D6,S-L-4,Target 1,UNKNOWN,SYBR,None,Amp,27.05675628,26.33203894,0.958095855,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
43,D7,S-D-11,Target 1,UNKNOWN,SYBR,None,Amp,32.69368633,26.33203894,0.93803193,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
44,D8,S-D-11,Target 1,UNKNOWN,SYBR,None,Amp,32.60612553,26.33203894,0.932117226,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
45,D9,S-D-11,Target 1,UNKNOWN,SYBR,None,Amp,33.44950749,26.33203894,0.937412063,6.778631152,TRUE,0.218324067,TRUE,3,28,,,,,FALSE
46,D10,C-L-18,Target 1,UNKNOWN,SYBR,None,Amp,32.63554682,26.33203894,0.95342995,6.778631152,TRUE,0.218324067,TRUE,3,26,,,,,FALSE
47,D11,C-L-18,Target 1,UNKNOWN,SYBR,None,Amp,32.69259082,26.33203894,0.936678599,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
48,D12,C-L-18,Target 1,UNKNOWN,SYBR,None,Amp,33.17028962,26.33203894,0.949523526,6.778631152,TRUE,0.218324067,TRUE,3,28,,,,,FALSE
49,E1,Standard 5,Target 1,UNKNOWN,SYBR,None,Amp,21.05245044,26.33203894,0.949741996,6.778631152,TRUE,0.218324067,TRUE,3,15,,,,,FALSE
