# Plate File Name: Power Up SYBR_02.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 01:18:54 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 01:19:00 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 02:34:29 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 29 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
37,D1,Standard_4,Target 1,UNKNOWN,SYBR,None,Amp,17.53615116,26.69090553,0.963314917,6.019300523,TRUE,0.21850056,TRUE,3,12,,,,,FALSE
38,D2,Standard_4,Target 1,UNKNOWN,SYBR,None,Amp,17.42167372,26.69090553,0.96547839,6.019300523,TRUE,0.21850056,TRUE,3,12,,,,,FALSE
39,D3,Standard_4,Target 1,UNKNOWN,SYBR,None,Amp,17.36972437,26.69090553,0.967705804,6.019300523,TRUE,0.21850056,TRUE,3,13,,,,,FALSE
40,D4,EC-8,Target 1,UNKNOWN,SYBR,None,Amp,29.40712838,26.69090553,0.967179548,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
41,D5,EC-8,Target 1,UNKNOWN,SYBR,None,Amp,29.14236729,26.69090553,0.968181844,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
42,D6,EC-8,Target 1,UNKNOWN,SYBR,None,Amp,29.22835033,26.69090553,0.960075149,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
43,D7,S-D-7,Target 1,UNKNOWN,SYBR,None,Amp,28.84736689,26.69090553,0.968764115,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
44,D8,S-D-7,Target 1,UNKNOWN,SYBR,None,Amp,28.75236879,26.69090553,0.963671706,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
45,D9,S-D-7,Target 1,UNKNOWN,SYBR,None,Amp,28.59971396,26.69090553,0.96057308,6.019300523,TRUE,0.21850056,TRUE,3,23,,,,,FALSE
46,D10,S-D-28,Target 1,UNKNOWN,SYBR,None,Amp,30.53457378,26.69090553,0.962460274,6.019300523,TRUE,0.21850056,TRUE,3,25,,,,,FALSE
47,D11,S-D-28,Target 1,UNKNOWN,SYBR,None,Amp,30.48383738,26.69090553,0.952734179,6.019300523,TRUE,0.21850056,TRUE,3,24,,,,,FALSE
48,D12,S-D-28,Target 1,UNKNOWN,SYBR,None,Amp,31.47986649,26.69090553,0.953493931,6.019300523,TRUE,0.21850056,TRUE,3,26,,,,,FALSE
49,E1,Standard_5,Target 1,UNKNOWN,SYBR,None,Amp,21.05906676,26.69090553,0.964170409,6.019300523,TRUE,0.21850056,TRUE,3,16,,,,,FALSE
